#sudoku #steps  #time   #ticks
0 227    1    5131
1 23255    29    115655
2 52736    66    260588
3 2236    2    11050
4 213    0    1007
5 205364    289    1130153
6 100295    130    507067
7 757    1    4097
8 504032    706    2755411
9 165556    209    816565
10 69650    89    350525
11 32156    41    163511
12 1296590    1688    6582865
13 363351    460    1796774
14 10769    14    55740
15 186    0    954
16 209    0    1023
17 14838    18    73937
18 1475    2    7961
19 1825    2    9451
20 2071    2    10769
21 248331    326    1271556
22 76319    99    386981
23 40658    53    206788
24 39520    50    196266
25 685753    865    3374849
26 119538    148    578778
27 40117    53    207527
28 74182    94    368573
29 476128    590    2304059
30 85608    108    424766
31 545756    690    2694034
32 614    0    3250
33 2814    4    15620
34 6271    8    32477
35 773    0    3703
36 4847    5    22948
37 2142    2    10843
38 513    0    2624
39 420    0    1997
40 504032    634    2473382
41 37770    47    185026
42 35866    43    170273
43 64308    81    315838
44 66867    89    348065
45 50057    64    249580
46 39246    50    197462
47 624600    818    3190406
48 229816    283    1104680
49 170017    217    846443
