#sudoku #steps  #time   #ticks
0 206611    251    980426
1 51749598    60000    233949317
2 1581656    1900    7409728
3 52388527    58762    229124102
4 45991349    52869    206145933
5 124156672    146178    569973412
6 138842749    161877    631183761
7 48589975    56534    220438167
8 91611981    101024    393910485
9 2154150    2482    9679917
10 52397225    60458    235738628
11 19423808    22588    88076448
12 40259030    45156    176073635
13 4718002    5396    21041529
14 37704557    43778    170700733
15 215216908    245728    958131979
16 151574146    178341    695381613
17 5112632    6489    25303866
18 21394835    25516    99491179
19 14210725    16096    62763610
20 9726291    11650    45428307
21 142939914    174045    678631000
22 2920283    3351    13068604
23 170493    195    764100
24 102513560    121431    473478190
25 131464166    150269    585924125
26 296482    353    1377454
27 45808940    52648    205282670
28 197689459    224038    873559217
29 346050146    414382    1615740670
30 91798275    109839    428282955
31 795158    905    3531341
32 13332372    15760    61452285
33 2424216    2747    10711548
34 74686788    88570    345351263
35 6718352    7635    29772041
36 12369490    14388    56102982
37 1642500    1944    7582109
38 3337697    3993    15573032
39 4627337    5645    22013400
40 22462987    25844    100770718
41 59227764    71515    278849576
42 65874825    81759    318794767
43 961268949    1139206    4441942521
44 6607037    7566    29501540
45 34906786    40460    157761750
46 1658197    1957    7631468
47 110890    120    469021
48 101659127    118658    462666916
49 91154489    105280    410505794
