#sudoku #steps  #time   #ticks
0 37    0    0
1 175    0    0
2 8    0    0
3 81    0    0
4 8    0    0
5 46    0    0
6 184    0    0
7 7    0    0
8 23    0    0
9 10    0    0
10 18    0    0
11 36    0    0
12 39    0    0
13 25    0    0
14 124    0    0
15 11    0    0
16 100    0    0
17 15    0    0
18 26    0    0
19 14    0    0
20 40    0    0
21 60    0    0
22 7    0    0
23 37    0    0
24 178    0    0
25 53    0    0
26 14    0    0
27 1    0    0
28 58    0    0
29 45    0    0
30 61    0    0
31 31    0    0
32 13    0    0
33 20    0    0
34 69    0    0
35 14    0    0
36 177    0    0
37 22    0    0
38 134    0    0
39 12    0    0
40 3    0    0
41 19    0    0
42 11    0    0
43 53    0    0
44 16    0    0
45 85    0    0
46 7    0    0
47 3    0    0
48 10    0    0
49 35    0    0
