#sudoku #steps  #time   #ticks
0 227    1    2905
1 23255    35    79845
2 52736    75    170025
3 2236    2    6668
4 213    0    587
5 205364    283    636311
6 100295    140    314574
7 757    1    2397
8 504032    695    1559448
9 165556    227    509399
10 69650    101    228196
11 32156    44    100832
12 1296590    1842    4129583
13 363351    508    1139956
14 10769    15    35615
15 186    0    508
16 209    0    567
17 14838    21    49098
18 1475    2    4631
19 1825    2    5897
20 2071    2    6399
21 248331    356    799869
22 76319    110    247983
23 40658    60    136016
24 39520    55    123611
25 685753    960    2151330
26 119538    167    375883
27 40117    59    134146
28 74182    103    230993
29 476128    647    1450326
30 85608    120    269628
31 545756    752    1687019
32 614    1    2757
33 2814    4    9049
34 6271    8    20074
35 773    0    2229
36 4847    6    13976
37 2142    3    8151
38 513    0    1613
39 420    0    1156
40 504032    682    1528766
41 37770    52    118120
42 35866    49    111311
43 64308    92    207229
44 66867    104    233260
45 50057    71    159359
46 39246    56    127506
47 624600    907    2033519
48 229816    313    703345
49 170017    242    542793
